iter	Passed	Remaining
575	12427	10982
576	12445	10957
577	12464	10933
578	12485	10911
579	12508	10891
580	12539	10878
581	12565	10859
582	12591	10841
583	12618	10825
584	12641	10805
585	12670	10789
586	12695	10770
587	12719	10751
588	12740	10729
589	12764	10709
590	12790	10691
591	12821	10677
592	12847	10659
593	12870	10638
594	12892	10617
595	12910	10592
596	12931	10570
597	12952	10548
598	12971	10524
599	12992	10502
600	13012	10479
601	13036	10459
602	13061	10440
603	13088	10423
604	13114	10404
605	13140	10386
606	13166	10368
607	13190	10348
608	13215	10329
609	13238	10308
610	13260	10287
611	13280	10263
612	13300	10241
613	13321	10218
614	13344	10197
615	13373	10182
616	13397	10162
617	13422	10143
618	13447	10123
619	13470	10102
620	13489	10078
621	13508	10055
622	13528	10032
623	13548	10009
624	13569	9987
625	13589	9963
626	13610	9941
627	13629	9918
628	13648	9894
629	13668	9871
630	13685	9846
631	13707	9824
632	13730	9804
633	13757	9786
634	13783	9767
635	13811	9750
636	13835	9730
637	13862	9712
638	13887	9693
639	13909	9671
640	13931	9649
641	13956	9630
642	13976	9607
643	13997	9585
644	14016	9561
645	14037	9539
646	14063	9520
647	14089	9501
648	14113	9481
649	14142	9464
650	14168	9445
651	14189	9423
652	14209	9400
653	14230	9377
654	14251	9355
655	14272	9333
656	14292	9310
657	14312	9288
658	14338	9269
659	14359	9246
660	14379	9223
661	14405	9204
662	14430	9185
663	14457	9166
664	14483	9147
665	14506	9126
666	14532	9107
667	14559	9088
668	14588	9071
669	14618	9054
670	14648	9037
671	14675	9019
672	14716	9009
673	14752	8996
674	14780	8977
675	14816	8964
676	14857	8953
677	14886	8936
678	14908	8914
679	14929	8892
680	14951	8870
681	14973	8848
682	14994	8825
683	15018	8804
684	15040	8782
685	15065	8762
686	15091	8743
687	15117	8723
688	15144	8704
689	15168	8683
690	15196	8665
691	15222	8645
692	15245	8623
693	15271	8603
694	15293	8582
695	15315	8560
696	15337	8537
697	15357	8514
698	15381	8493
699	15407	8474
700	15434	8455
701	15460	8434
702	15485	8414
703	15509	8393
704	15535	8373
705	15561	8353
706	15582	8331
707	15602	8308
708	15627	8287
709	15668	8275
710	15725	8272
711	15784	8269
712	15830	8259
713	15882	8252
714	15902	8229
715	15921	8205
716	15944	8183
717	15965	8160
718	15985	8137
719	16004	8113
720	16024	8090
721	16046	8067
722	16069	8045
723	16097	8026
724	16122	8005
725	16148	7985
726	16170	7962
727	16190	7939
728	16210	7916
729	16230	7892
730	16250	7869
731	16270	7846
732	16292	7823
733	16316	7802
734	16343	7782
735	16375	7765
736	16401	7744
737	16426	7723
738	16451	7702
739	16478	7682
740	16501	7660
741	16520	7636
742	16541	7613
743	16564	7591
744	16585	7569
745	16607	7547
746	16631	7525
747	16654	7503
748	16678	7482
749	16699	7459
750	16721	7436
751	16740	7412
752	16759	7389
753	16780	7366
754	16799	7342
755	16818	7319
756	16838	7295
757	16864	7275
758	16889	7254
759	16917	7234
760	16941	7212
761	16967	7192
762	17003	7175
763	17042	7160
764	17077	7143
765	17110	7125
766	17153	7111
767	17183	7092
768	17220	7076
769	17252	7057
770	17278	7036
771	17300	7014
772	17321	6991
773	17340	6967
774	17360	6944
775	17378	6920
776	17402	6898
777	17424	6875
778	17447	6853
779	17471	6831
780	17497	6810
781	17522	6789
782	17548	6768
783	17572	6746
784	17598	6725
785	17625	6704
786	17655	6685
787	17679	6663
788	17700	6640
789	17722	6617
790	17741	6594
791	17766	6572
792	17797	6553
793	17824	6532
794	17851	6512
795	17876	6490
796	17903	6469
797	17927	6447
798	17952	6426
799	17975	6403
800	17994	6380
801	18016	6357
802	18037	6334
803	18057	6311
804	18081	6289
805	18101	6265
806	18125	6243
807	18152	6223
808	18177	6201
809	18197	6178
810	18222	6156
811	18241	6132
812	18263	6110
813	18283	6086
814	18303	6063
815	18320	6039
816	18341	6016
817	18361	5993
818	18381	5970
819	18403	5947
820	18424	5924
821	18445	5901
822	18467	5878
823	18490	5856
824	18508	5833
825	18529	5810
826	18550	5787
827	18573	5764
828	18597	5743
829	18623	5721
830	18653	5701
831	18677	5679
832	18703	5658
833	18724	5635
834	18745	5612
835	18766	5589
836	18785	5566
837	18803	5542
838	18824	5519
839	18844	5496
840	18864	5473
841	18886	5450
842	18907	5427
843	18933	5406
844	18957	5384
845	18982	5362
846	19007	5340
847	19030	5318
848	19053	5296
849	19075	5273
850	19094	5250
851	19114	5227
852	19133	5203
853	19151	5180
854	19173	5157
855	19199	5136
856	19223	5114
857	19247	5092
858	19271	5070
859	19300	5049
860	19325	5027
861	19345	5004
862	19368	4982
863	19389	4959
864	19409	4936
865	19433	4914
866	19458	4892
867	19485	4871
868	19510	4849
869	19538	4828
870	19565	4807
871	19589	4785
872	19612	4762
873	19631	4739
874	19652	4716
875	19673	4693
876	19692	4670
877	19715	4648
878	19736	4625
879	19758	4602
880	19785	4581
881	19807	4558
882	19826	4535
883	19843	4511
884	19866	4489
885	19893	4468
886	19912	4445
887	19934	4422
888	19955	4399
889	19974	4376
890	19996	4353
891	20017	4331
892	20036	4307
893	20058	4285
894	20082	4263
895	20106	4241
896	20133	4219
897	20160	4198
898	20192	4177
899	20223	4157
900	20249	4135
901	20278	4114
902	20307	4093
903	20333	4071
904	20357	4049
905	20391	4028
906	20421	4007
907	20452	3986
908	20492	3967
909	20531	3948
910	20562	3927
911	20585	3904
912	20606	3882
913	20626	3859
914	20648	3836
915	20669	3813
916	20692	3790
917	20713	3768
918	20732	3744
919	20754	3722
920	20776	3699
921	20799	3677
922	20827	3655
923	20854	3633
924	20885	3612
925	20913	3590
926	20940	3569
